id,CatCode,Level1Description,Level2Description,Level3Description,UNSPSC
1,CatCode,Level1Description,Level2Description,Level3Description,UNSPSC
2,001,Accessories and Cables,"","",""
3,002,Computers and Portables,"","",""
4,003,Digital Cameras/Keyboards/Input Devices,"","",""
5,005,Monitor / Display / Projector,"","",""
6,006,Networking,"","",""
7,007,Audio / Video / Output Devices,"","",""
8,008,Power Equipment,"","",""
9,009,Printers,"","",""
10,010,Service / Support,"","",""
11,011,Software,"","",""
12,012,Storage Devices,"","",""
13,013,Computer Components,"","",""
14,014,Accessory,"","",""
15,015,Bar Code Reader,"","",""
16,016,Battery charger,"","",""
17,017,Bridge / Router,"","",""
18,018,Cabinets / Enclosures,"","",""
19,019,Cables,"","",""
20,020,Camera Lenses,"","",""
21,021,Carrying Cases,"","",""
22,022,Communication Device,"","",""
23,023,Computer / Laptop Warranties,"","",""
24,024,Computer Based Training,"","",""
25,025,Creativity Application,"","",""
26,026,Personal Computer,"","",""
27,027,Digital Camera,"","",""
28,028,Documentation Kit,"","",""
29,029,Dot-matrix,"","",""
30,030,DRAM - DIMM 168-pin Other,"","",""
31,031,DRAM - DIMM 168-pin PC100,"","",""
32,032,DRAM - DIMM 168-pin PC133,"","",""
33,033,DRAM - Other,"","",""
34,034,DRAM - RIMM 184-pin,"","",""
35,035,DRAM - SIMM 72-pin,"","",""
36,036,DRAM - SO DIMM 144-pin,"","",""
37,037,Education Application,"","",""
38,038,LCD Display,"","",""
39,039,Game / Entertainment,"","",""
40,040,Game Controller / Joy Stick,"","",""
41,041,Handheld / PDA,"","",""
42,042,Handheld / PDA Accessory,"","",""
43,043,Hard Drive Fibre Channel,"","",""
44,044,Hard Drive ATA / SATA <= 5400 RPM,"","",""
45,045,Hard Drive ATA / SATA 7200+ RPM,"","",""
46,046,Hard Drive Mobile 2.5 in.,"","",""
47,047,Hard Drive Other,"","",""
48,048,Hard Drive SCSI <= 7200 RPM,"","",""
49,049,Hard Drive SCSI 10K RPM,"","",""
50,050,Hard Drive SCSI 15K RPM,"","",""
51,051,Home / Lifestyle Application,"","",""
52,052,Hub / Switch,"","",""
53,053,Ink-jet,"","",""
54,054,Input Adapter,"","",""
55,055,Internet Application,"","",""
56,056,Keyboards,"","",""
57,057,Laptop,"","",""
58,058,Laser - B/W,"","",""
59,059,Laser - Color,"","",""
60,060,LCD / LED,"","",""
61,061,Mainboard - AMD Chipset,"","",""
62,062,Mainboard - Intel Chipset,"","",""
63,063,Mainboard - Other Chipset,"","",""
64,064,Mainboard - VIA chipset,"","",""
65,065,Memory - Other,"","",""
66,066,Microphones - Audio Input,"","",""
67,067,Modem / Communication,"","",""
68,068,Network Accessory,"","",""
69,069,Network Adapter,"","",""
70,070,Network Cable,"","",""
71,071,Network Device,"","",""
72,072,Network Hardware Warranties,"","",""
73,073,Network Management Tools,"","",""
74,074,Network Storage,"","",""
75,075,Operating System,"","",""
76,076,Optical Miscellaneous,"","",""
77,077,Other,"","",""
78,078,Other Display,"","",""
79,079,Other Equipment,"","",""
80,080,Pointing Devices,"","",""
81,081,Power Accessory,"","",""
82,082,Power adapter,"","",""
83,083,Power array,"","",""
84,084,Power Cables,"","",""
85,085,Power distribution unit,"","",""
86,086,Power supply,"","",""
87,087,Printer / Monitor Warranties,"","",""
88,088,Printer Consumables,"","",""
89,089,Processor / CPU Accessory,"","",""
90,090,Processors,"","",""
91,091,Productivity Applications,"","",""
92,092,Programming Tools,"","",""
93,093,Projector / Panel,"","",""
94,094,Rack Systems and Parts,"","",""
95,095,Reference / Data Source,"","",""
96,096,Removable Disk Drive,"","",""
97,097,Removable Media,"","",""
98,098,Removable Tape Drive,"","",""
99,099,Repeater / Transceiver,"","",""
100,100,Scanner,"","",""
101,101,Scanner Accessory,"","",""
102,102,Security Accessory,"","",""
103,103,Self-training Course,"","",""
104,104,Software Suite,"","",""
105,105,Software Support,"","",""
106,106,Sound Cards,"","",""
107,107,Speakers,"","",""
108,108,CRT Display,"","",""
109,109,Storage Accessory,"","",""
110,110,Storage Adapters,"","",""
111,111,Storage Device Warranties,"","",""
112,112,Surge suppressor,"","",""
113,113,System Accessory,"","",""
114,114,System Cabinets,"","",""
115,115,Thermal inkjet,"","",""
116,116,Training Courses,"","",""
117,117,Trays and Accessories,"","",""
118,118,UPS,"","",""
119,119,User Manual,"","",""
120,120,Utilities,"","",""
121,121,Video Graphic Cards,"","",""
122,122,< 10 GB,"","",""
123,123,< 15 inch,"","",""
124,124,< 17 inch,"","",""
125,125,< 20 GB,"","",""
126,126,19 - 29 inch,"","",""
127,127,10 GB to 29 GB,"","",""
128,128,100+ GB,"","",""
129,129,128MB,"","",""
130,130,15 inch,"","",""
131,131,16 - 19 inch,"","",""
132,132,17 inch,"","",""
133,133,19 inch,"","",""
134,134,1GB,"","",""
135,135,21 GB to 39 GB,"","",""
136,136,256MB,"","",""
137,137,30 GB to 49 GB,"","",""
138,138,40 GB to 69 GB,"","",""
139,139,50 GB to 69 GB,"","",""
140,140,512MB,"","",""
141,141,64MB,"","",""
142,142,70 GB to 99 GB,"","",""
143,143,70+ GB,"","",""
144,144,"8mm Other (VXA, D8, Mammoth)","","",""
145,145,Access / Login control,"","",""
146,146,Accessories,"","",""
147,147,Accessory,"","",""
148,148,Accounting,"","",""
149,149,8mm AIT / SAIT,"","",""
150,150,Anti-Virus,"","",""
151,151,Antivirus / PC diagnostic,"","",""
152,152,Athlon,"","",""
153,153,ATM,"","",""
154,154,AV / multimedia,"","",""
155,155,Backup / compression,"","",""
156,156,Basic,"","",""
157,157,C++,"","",""
158,158,Cache Memory,"","",""
159,159,CAD / CAM,"","",""
160,160,CD-R,"","",""
161,161,CD-ROM,"","",""
162,162,CD-RW,"","",""
163,163,"DVD (ROM, RW, CD Combo)","","",""
164,164,Celeron,"","",""
165,165,Commercial finance,"","",""
166,166,Connectivity,"","",""
167,167,Contact management,"","",""
168,168,Control processor,"","",""
169,169,Crash protection,"","",""
170,170,4mm DDS / DAT,"","",""
171,171,Data encryption,"","",""
172,172,Data recovery,"","",""
173,173,Data security,"","",""
174,174,Database / connectivity,"","",""
175,175,Database / reporting,"","",""
176,176,Database Publishing,"","",""
177,177,Desktop Publishing,"","",""
178,178,DIMM 100-pin,"","",""
179,179,DIMM 184-pin,"","",""
180,180,Disk management,"","",""
181,181,Display,"","",""
182,182,DLP projector,"","",""
183,183,DLT / Super DLT / VS,"","",""
184,184,Docking station,"","",""
185,185,Document management,"","",""
186,186,DSL modem,"","",""
187,187,DVD-RAM,"","",""
188,188,DVD-ROM,"","",""
189,189,e-Commerce,"","",""
190,190,Email / FTP / Fax,"","",""
191,191,Ethernet,"","",""
192,192,Fast Ethernet,"","",""
193,193,Fax / modem,"","",""
194,194,Fiber optic,"","",""
195,195,Fibre Channel,"","",""
196,196,File / desktop management,"","",""
197,197,File viewing / conversion,"","",""
198,198,Firewall,"","",""
199,200,FireWire,"","",""
200,201,Flash Memory,"","",""
201,202,Floppy,"","",""
202,203,Floppy disk,"","",""
203,204,Fonts,"","",""
204,205,Fonts management,"","",""
205,206,Gateway,"","",""
206,207,Gateway server,"","",""
207,208,Gigabit Ethernet,"","",""
208,209,Graphics,"","",""
209,210,Groupware,"","",""
210,211,Hub,"","",""
211,212,IDE / EIDE,"","",""
212,213,Image Editing,"","",""
213,214,Internet Security,"","",""
214,215,Internet Utilities,"","",""
215,216,JAVA,"","",""
216,217,Keyboard,"","",""
217,218,Keyboard / mouse,"","",""
218,219,Keyboard / mouse / video,"","",""
219,220,Large-format,"","",""
220,221,LCD projector,"","",""
221,222,Linux,"","",""
222,223,Load balancing device,"","",""
223,224,Magneto-Optical disk,"","",""
224,225,Management Application,"","",""
225,226,Memory Adapter,"","",""
226,227,Modem,"","",""
227,228,Modem ISDN / Cable / Digital,"","",""
228,229,Modular expansion base,"","",""
229,230,Monitoring,"","",""
230,231,Multifunction,"","",""
231,232,Multimedia Authoring,"","",""
232,233,NetWare,"","",""
233,234,Network,"","",""
234,235,Network / modem combo,"","",""
235,236,Network monitoring device,"","",""
236,237,Network testing device,"","",""
237,238,Office suite,"","",""
238,239,Other,"","",""
239,240,Other CPU,"","",""
240,241,Paper,"","",""
241,242,Parallel,"","",""
242,243,Patch,"","",""
243,244,PDA software,"","",""
244,245,Pentium 4,"","",""
245,246,Barebone,"","",""
246,247,Pentium III,"","",""
247,248,Pentium D,"","",""
248,249,AMD Turion,"","",""
249,250,Pentium Other,"","",""
250,251,Performance management,"","",""
251,252,Personal,"","",""
252,253,Port replicator,"","",""
253,254,Power,"","",""
254,255,Presentation,"","",""
255,256,Printer,"","",""
